Gene_model,Gene_type,Description
AT1G69530,protein_coding,"Description: Member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al; Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana., Other Name: AT-EXP1;ATEXP1;ATEXPA1;ATHEXP ALPHA 1.2;EXP1;EXPA1;EXPANSIN 1;expansin A1, Keywords: plant-type cell wall loosening;regulation of stomatal movement;response to gibberellin;response to red light;syncytium formation;unidimensional cell growth;plant-type cell wall modification involved in multidimensional cell growth;plant-type cell wall organization;extracellular region;mitochondrion;plant-type cell wall;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;lateral root;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;root tip;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G49870,protein_coding,"Description: myosin-2 heavy chain-like protein;(source:Araport11), Other Name: N/A, Keywords: cytoplasm;molecular_function;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;collective leaf structure;flower;hypocotyl;plant embryo;plant sperm cell;root;seed;sepal;shoot apex;vascular leaf,"
AT1G14920,protein_coding,"Description: Similar to a putative transcription factor and transcriptional coactivators. Repressor of GA responses and involved in gibberellic acid mediated signaling. Member of the DELLA proteins that restrain the cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. GAI may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA., Other Name: GAI;GIBBERELLIC ACID INSENSITIVE;RESTORATION ON GROWTH ON AMMONIA 2;RGA2, Keywords: gibberellic acid mediated signaling pathway;hyperosmotic salinity response;jasmonic acid mediated signaling pathway;meiotic cytokinesis;negative regulation of gibberellic acid mediated signaling pathway;negative regulation of seed germination;phloem transport;regulation of nitrogen utilization;regulation of reactive oxygen species metabolic process;regulation of seed dormancy process;regulation of seed germination;response to abscisic acid;response to ethylene;response to far red light;response to gibberellin;response to salt stress;salicylic acid mediated signaling pathway;gibberellic acid homeostasis;hyperosmotic salinity response;jasmonic acid mediated signaling pathway;negative regulation of gibberellic acid mediated signaling pathway;negative regulation of seed germination;positive regulation of gibberellic acid mediated signaling pathway;positive regulation of transcription by RNA polymerase II;regulation of DNA-templated transcription;regulation of reactive oxygen species metabolic process;regulation of seed dormancy process;regulation of seed germination;response to abscisic acid;response to ethylene;salicylic acid mediated signaling pathway;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;sequence-specific DNA binding;transcription cis-regulatory region binding;transcription coactivator activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed dormant stage;vascular leaf senescent stage;whole plant flowering stage;anther;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;gynoecium;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G06980,protein_coding,"Description: PADRE protein, Other Name: N/A, Keywords: cellular_component;molecular_function;flowering stage;carpel;pollen;sepal,"
AT1G07150,protein_coding,"Description: Member of MEKK subfamily. Involved in wound induced signaling where it interacts with At5g40440; and activates At1g59580., Other Name: MAP3K13;MAPKKK13;MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13, Keywords: cellular response to hypoxia;protein phosphorylation;signal transduction;plasma membrane;protein kinase activity;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;cotyledon;guard cell;leaf apex;root;shoot system;stamen;vascular leaf,"
AT1G14720,protein_coding,"Description: member of Glycoside Hydrolase Family 16, Other Name: ATXTH28;ENDOXYLOGLUCAN TRANSFERASE A2;EXGT-A2;XTH28;XTR2;XYLOGLUCAN ENDOTRANSGLYCOSYLASE RELATED 2;xyloglucan endotransglucosylase/hydrolase 28, Keywords: fruit development;stamen filament development;cell wall biogenesis;xyloglucan metabolic process;extracellular region;hydrolase activity, hydrolyzing O-glycosyl compounds;polysaccharide binding;xyloglucan:xyloglucosyl transferase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;filament;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;stamen;stem;trichome;vascular leaf,"
AT1G14830,protein_coding,"Description: Encodes a dynamin-like protein that is involved in mitochondrial morphogenesis and pollen development. Protein is localized as speckles in the cytoplasm; partially co-localizes with mitochondrial markers, cell plate of dividing cells, and the tip of root hairs, root cap cells, and expanding part of trichoblasts., Other Name: ADL1C;ADL5;ARABIDOPSIS DYNAMIN-LIKE PROTEIN 5;DL1C;DRP1C;DYNAMIN RELATED PROTEIN 1C;DYNAMIN-like 1C, Keywords: mitochondrial fission;mitochondrion organization;pollen maturation;pollen maturation;cytoplasm;membrane;microtubule;cell cortex;cell plate;clathrin-coated vesicle;cytoplasm;extracellular region;plasma membrane;plasmodesma;mitochondrion;GTPase activity;microtubule binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;pollen;root hair cell;trichoblast,"
AT1G33430,protein_coding,"Description: UPEX1 is arabinogalactan b-(1;3)-galactosyltransferase involved in the formation of pollen exine. Belongs to GT31 family. Mutants have reduced levels of AGPs. GALT8 has some but not complete functional overlap with KNS4/UPEX1., Other Name: KAONASHI 4;KNS4;UNEVEN PATTERN OF EXINE1;UPEX1, Keywords: non-classical arabinogalactan protein metabolic process;pollen exine formation;protein glycosylation;Golgi membrane;Golgi apparatus;beta-1,3-galactosyltransferase activity;galactosyltransferase activity;glycosyltransferase activity;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;anther wall tapetum;cauline leaf;collective leaf structure;flower;hypocotyl;petal;petiole;plant embryo;seed;sepal;shoot apex;stamen;vascular leaf,"
AT1G14750,protein_coding,"Description: Encodes a meiotic cyclin-like protein; distinct from all other known Arabidopsis cyclins.  It is not required for meiotic DSB formation but is necessary for meiotic DSB repair via the homologous chromosome., Other Name: SDS;SOLO DANCERS, Keywords: chiasma assembly;double-strand break repair via homologous recombination;G1/S transition of mitotic cell cycle;cytoplasm;nucleus;nucleus;cyclin-dependent protein kinase holoenzyme complex;cyclin-dependent protein serine/threonine kinase regulator activity;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;flower;guard cell;seed;shoot apex,"
AT1G48820,protein_coding,"Description: Terpenoid cyclases/Protein prenyltransferases superfamily protein;(source:Araport11), Other Name: N/A, Keywords: diterpenoid biosynthetic process;sesquiterpene biosynthetic process;chloroplast;cyclase activity;mature plant embryo stage;petal differentiation and expansion stage;collective leaf structure;flower;seed,"
AT1G51210,protein_coding,"Description: UDP-Glycosyltransferase superfamily protein;(source:Araport11), Other Name: N/A, Keywords: biological_process;chloroplast;UDP-glucosyltransferase activity;glycosyltransferase activity;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;carpel;collective leaf structure;cotyledon;flower;hypocotyl;inflorescence meristem;leaf apex;petal;petiole;pollen;root;seed;sepal;shoot apex;stem;vascular leaf,"
AT1G51250,protein_coding,"Description: Plant self-incompatibility protein S1 family;(source:Araport11), Other Name: N/A, Keywords: biological_process;mitochondrion;molecular_function;L mature pollen stage;M germinated pollen stage;pollen;pollen tube cell,"
AT1G51260,protein_coding,"Description: ACYL-COA:1-ACYLGLYCEROL-3-PHOSPHATE ACYLTRANSFERASE; PUTATIVE SIMILAR TO ACYL-COA:1-ACYLGLYCEROL-3-PHOSPHATE ACYLTRANSFERASE GI:4583544 FROM [BRASSICA NAPUS], Other Name: LPAT3;LYSOPHOSPHATIDYL ACYLTRANSFERASE 3, Keywords: CDP-diacylglycerol biosynthetic process;endomembrane system;chloroplast;1-acylglycerol-3-phosphate O-acyltransferase activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;inflorescence;petal;pollen;pollen tube cell;root;sepal,"
AT1G35910,protein_coding,"Description: Haloacid dehalogenase-like hydrolase (HAD) superfamily protein;(source:Araport11), Other Name: ATTPPD;TPPD;trehalose-6-phosphate phosphatase D, Keywords: response to osmotic stress;response to oxidative stress;response to salt stress;trehalose biosynthetic process;chloroplast;cytoplasm;trehalase activity;trehalose-phosphatase activity;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;inflorescence meristem;leaf apex;petal;plant embryo;pollen;root;seed;sepal;stamen;stem,"
AT1G48270,protein_coding,"Description: encodes a protein similar to G-coupled receptor with 7 transmembrane regions. Overexpression studies suggest this gene is involved in dormancy and flowering. Reduction of expression results in decreased sensitivity to cytokinin., Other Name: ATGCR1;G-PROTEIN-COUPLED RECEPTOR 1;GCR1, Keywords: L-phenylalanine biosynthetic process;flower development;maintenance of seed dormancy;mitotic cell cycle;response to cytokinin;response to low fluence blue light stimulus by blue low-fluence system;tyrosine biosynthetic process;G protein-coupled receptor signaling pathway;abscisic acid-activated signaling pathway;adenylate cyclase-activating G protein-coupled receptor signaling pathway;blue light signaling pathway;brassinosteroid mediated signaling pathway;negative regulation of abscisic acid-activated signaling pathway;positive regulation of gibberellic acid mediated signaling pathway;regulation of inositol trisphosphate biosynthetic process;plasma membrane;Golgi apparatus;plant-type vacuole;plasma membrane;G protein-coupled receptor activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G06970,protein_coding,"Description: member of Putative Na+/H+ antiporter family, Other Name: ATCHX14;CATION/HYDROGEN EXCHANGER 14;CHX14, Keywords: monoatomic cation transport;inorganic cation transmembrane transport;regulation of pH;endomembrane system;sodium:proton antiporter activity;L mature pollen stage;M germinated pollen stage;flowering stage;collective leaf structure;flower;pollen;pollen tube cell;root;vascular leaf,"
AT1G07260,protein_coding,"Description: Encodes a uridine diphosphate-glycosyltransferase that acts on methyl salicylate (MeSA) to form MeSA glucosides in vitro and in vivo and facilitates negative regulation of the SAR response by modulating homeostasis of MeSA and SA., Other Name: UDP-GLUCOSYL TRANSFERASE 71C3;UGT71C3, Keywords: negative regulation of systemic acquired resistance;abscisic acid metabolic process;cellular_component;4-alpha-glucanotransferase activity;glycosyltransferase activity;quercetin 3-O-glucosyltransferase activity;quercetin 7-O-glucosyltransferase activity;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;LP.04 four leaves visible stage;collective leaf structure;flower;guard cell;hypocotyl;plant embryo;root;seed;shoot apex,"
AT1G03140,protein_coding,"Description: PRP18a is one of two paralogs (the other being PRP18b) which are highly similar to the step II splicing factors in yeast. Loss of function mutations show defects in alternative splicing; mostly intron retention events., Other Name: PRE-MRNA PROCESSING  FACTOR 18A;PRP18A, Keywords: alternative mRNA splicing, via spliceosome;generation of catalytic spliceosome for second transesterification step;nucleus;U2-type post-spliceosomal complex;U4/U6 x U5 tri-snRNP complex;U5 snRNP;molecular_function;L mature pollen stage;M germinated pollen stage;cultured plant cell;guard cell;pollen;pollen tube cell,"
AT1G06990,protein_coding,"Description: GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates., Other Name: N/A, Keywords: biological_process;extracellular region;hydrolase activity, acting on ester bonds;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;petal;sepal,"
AT1G17760,protein_coding,"Description: Encodes a homolog of the mammalian protein CstF77; a polyadenylation factor subunit. RNA 3&#8242;-end?processing factor of antisense FLC transcript. Mediates silencing of the floral repressor gene FLC. Member of CstF complex., Other Name: ARABIDOPSIS THALIANA CLEAVAGE STIMULATION FACTOR 77;ATCSTF77;CSTF77, Keywords: RNA 3'-end processing;negative regulation of DNA-templated transcription;RNA 3'-end processing;antisense RNA metabolic process;post-transcriptional gene silencing;regulatory ncRNA-mediated gene silencing;nucleus;nucleus;mRNA binding;protein binding;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G51300,protein_coding,"Description: alpha/beta-Hydrolases superfamily protein;(source:Araport11), Other Name: N/A, Keywords: biological_process;chloroplast;cytoplasm;hydrolase activity;flowering stage;plant embryo globular stage;flower pedicel;plant embryo,"
AT1G03050,protein_coding,"Description: Phosphatidylinositol binding clathrin assembly protein 5A/B are recent paralogs with overlapping functions in  recycling ANXUR proteins to the pollen tube membrane., Other Name: PHOSPHATIDYLINOSITOL BINDING CLATHRIN ASSEMBLY PROTEIN 5A;PICALM5A, Keywords: pollen tube growth;protein localization to plasma membrane;clathrin-dependent endocytosis;vesicle budding from membrane;clathrin-coated endocytic vesicle;clathrin-coated pit;clathrin-coated vesicle;nucleus;pollen tube;pollen tube tip;1-phosphatidylinositol binding;SNARE binding;clathrin heavy chain binding;phosphatidylinositol-4,5-bisphosphate binding;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;petal;plant embryo;pollen;pollen tube cell;sepal;stamen,"
AT1G17710,protein_coding,"Description: Encodes a phosphoethanolamine/phosphocholine phosphatase. It is likely to be involved in the liberation of inorganic phosphate from intracellular sources. Expression is upregulated in the shoot of cax1/cax3 mutant., Other Name: ARABIDOPSIS THALIANA PHOSPHOETHANOLAMINE/PHOSPHOCHOLINE PHOSPHATASE 1;ATPEPC1;PEPC1;PHOSPHOETHANOLAMINE/PHOSPHOCHOLINE PHOSPHATASE 1, Keywords: dephosphorylation;protein tetramerization;nucleus;inorganic diphosphate phosphatase activity;phosphatase activity;phosphocholine phosphatase activity;phosphoethanolamine phosphatase activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;endosperm;flower;guard cell;petal;plant sperm cell;pollen;pollen tube cell;sepal;stamen,"
AT1G07120,protein_coding,"Description: CHUP1-like protein;(source:Araport11), Other Name: IPGA1-LIKE1;IPGAL1, Keywords: protein localization to cortical microtubule cytoskeleton;cortical microtubule;chloroplast envelope;cortical microtubule;nucleus;microtubule binding;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;guard cell;inflorescence meristem;petal,"
AT1G50460,protein_coding,"Description: Involved in glucose-ethylene crosstalk., Other Name: ATHKL1;HEXOKINASE-LIKE 1;HKL1, Keywords: response to cold;response to osmotic stress;response to salt stress;root hair cell development;glycolytic process;hexose metabolic process;intracellular glucose homeostasis;cytosol;mitochondrion;chloroplast;mitochondrial outer membrane;mitochondrion;D-glucose binding;protein binding;fructokinase activity;glucokinase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G03010,protein_coding,"Description: Phototropic-responsive NPH3 family protein;(source:Araport11), Other Name: N/A, Keywords: pollen tube growth;protein ubiquitination;nucleus;molecular_function;M germinated pollen stage;petal differentiation and expansion stage;cauline leaf;flower;inflorescence meristem;leaf apex;root,"
AT1G03160,protein_coding,"Description: A new plant-specific member of the dynamin superfamily; defines a new protein class within the dynamin superfamily of membrane remodeling GTPases that regulates organization of the thylakoid network in plants. Targeted to chloroplasts and associated with thylakoid and envelope membranes as punctate structures. Knockout mutants have abnormalities in chloroplast and thylakoid morphology; including disorganized grana stacks and alterations in the relative proportions of grana and stroma thylakoids. Overexpression of FZL-GFP also conferred defects in thylakoid organization., Other Name: FZL;FZO-LIKE, Keywords: negative regulation of defense response to bacterium;negative regulation of plant-type hypersensitive response;thylakoid membrane organization;vegetative to reproductive phase transition of meristem;thylakoid membrane organization;chloroplast membrane;chloroplast;chloroplast membrane;chloroplast outer membrane;GTP binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;leaf mesophyll;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G67770,protein_coding,"Description: Similar to terminal ear1 in Zea mays. A member of mei2-like gene family; phylogenetic analysis revealed that TEL2 belongs to the third clade of mei2-like proteins (TEL clade); with conserved two N-terminal RNA recognition motifs (RRM), in addition to the C-terminal RRM, shared among all mei2-like proteins. Expression patterns were similar to TEL1, with lower expression levels in most tissues examined., Other Name: TEL2;TERMINAL EAR1-LIKE 2, Keywords: nucleus;ribonucleoprotein complex;RNA binding;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;embryo shoot apical meristem;flower;flower meristem;plant embryo;primary root apical meristem;seed;shoot apex;shoot apical meristem,"
AT1G67680,protein_coding,"Description: SRP72 RNA-binding domain-containing protein;(source:Araport11), Other Name: N/A, Keywords: SRP-dependent cotranslational protein targeting to membrane;cytoplasm;cytosol;signal recognition particle, endoplasmic reticulum targeting;ribosome binding;7S RNA binding;L mature pollen stage;M germinated pollen stage;guard cell;pollen;pollen tube cell,"
AT1G67540,protein_coding,"Description: Encoding a lipid droplet-associated protein; critical for the accumulation of lipid   droplets and pollen longevity., Other Name: PALD;PROTEIN ASSOCIATED WITH LIPID DROPLETS, Keywords: lipid droplet;mitochondrion;pollen tube;molecular_function;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;petal;pollen;pollen tube cell,"
AT1G11920,protein_coding,"Description: Pectate lyase, Other Name: ATPLL6, Keywords: pectin catabolic process;extracellular region;lyase activity;pectate lyase activity;petal differentiation and expansion stage;flower,"
AT1G61110,protein_coding,"Description: NAC transcription regulator.  Regulates endosperm cell expansion during germination., Other Name: NAC domain containing protein 25;NAC025;NAC25;anac025, Keywords: plant-type cell wall modification involved in multidimensional cell growth;positive regulation of gene expression;embryo development ending in seed dormancy;system development;nucleus;DNA-binding transcription factor activity;sequence-specific DNA binding;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;petal;pollen;sepal,"
